Record Date,Facility Description,Form Description,Location Description,Fine Troy Ounces,Book Value,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-09-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,4,2022,3,09,30
2022-09-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,4,2022,3,09,30
2022-09-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,4,2022,3,09,30
2022-09-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,4,2022,3,09,30
2022-09-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2022,4,2022,3,09,30
2022-09-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2022,4,2022,3,09,30
2022-09-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2022,4,2022,3,09,30
2022-08-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,4,2022,3,08,31
2022-08-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,4,2022,3,08,31
2022-08-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,4,2022,3,08,31
2022-08-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,4,2022,3,08,31
2022-08-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2022,4,2022,3,08,31
2022-08-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2022,4,2022,3,08,31
2022-08-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2022,4,2022,3,08,31
2022-08-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,4,2022,3,08,31
2022-07-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,4,2022,3,07,31
2022-07-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,4,2022,3,07,31
2022-07-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,4,2022,3,07,31
2022-07-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,4,2022,3,07,31
2022-07-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,4,2022,3,07,31
2022-07-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,2393.352,101052.57,6,2022,4,2022,3,07,31
2022-07-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73472.281,3102161.35,7,2022,4,2022,3,07,31
2022-07-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,357.238,15083.36,8,2022,4,2022,3,07,31
2022-06-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,3,2022,2,06,30
2022-06-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,3,2022,2,06,30
2022-06-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,3,2022,2,06,30
2022-06-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,2393.352,101052.57,6,2022,3,2022,2,06,30
2022-06-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73472.281,3102161.35,7,2022,3,2022,2,06,30
2022-06-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,357.238,15083.36,8,2022,3,2022,2,06,30
2022-06-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,3,2022,2,06,30
2022-06-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,3,2022,2,06,30
2022-05-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,3,2022,2,05,31
2022-05-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,3,2022,2,05,31
2022-05-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,3,2022,2,05,31
2022-05-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,3,2022,2,05,31
2022-05-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,2393.352,101052.57,6,2022,3,2022,2,05,31
2022-05-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73472.281,3102161.35,7,2022,3,2022,2,05,31
2022-05-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,357.238,15083.36,8,2022,3,2022,2,05,31
2022-05-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,3,2022,2,05,31
2022-04-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,3,2022,2,04,30
2022-04-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,3,2022,2,04,30
2022-04-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,3,2022,2,04,30
2022-04-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,3,2022,2,04,30
2022-04-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,3,2022,2,04,30
2022-04-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,2393.352,101052.57,6,2022,3,2022,2,04,30
2022-04-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73472.281,3102161.35,7,2022,3,2022,2,04,30
2022-04-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,357.238,15083.36,8,2022,3,2022,2,04,30
2022-03-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,2,2022,1,03,31
2022-03-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,2,2022,1,03,31
2022-03-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,2,2022,1,03,31
2022-03-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2022,2,2022,1,03,31
2022-03-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2022,2,2022,1,03,31
2022-03-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,2393.352,101052.57,6,2022,2,2022,1,03,31
2022-03-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73472.281,3102161.35,7,2022,2,2022,1,03,31
2022-03-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,357.238,15083.36,8,2022,2,2022,1,03,31
2022-02-28,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,2,2022,1,02,28
2022-02-28,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2022,2,2022,1,02,28
2022-02-28,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2022,2,2022,1,02,28
