Record Date,Facility Description,Form Description,Location Description,Fine Troy Ounces,Book Value,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-09-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,4,2023,3,09,30
2023-09-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,4,2023,3,09,30
2023-09-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,4,2023,3,09,30
2023-08-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,4,2023,3,08,31
2023-08-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,4,2023,3,08,31
2023-08-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,4,2023,3,08,31
2023-08-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,4,2023,3,08,31
2023-08-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,4,2023,3,08,31
2023-08-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,4,2023,3,08,31
2023-08-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,4,2023,3,08,31
2023-08-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,4,2023,3,08,31
2023-07-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,4,2023,3,07,31
2023-07-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,4,2023,3,07,31
2023-07-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,4,2023,3,07,31
2023-07-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,4,2023,3,07,31
2023-07-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,4,2023,3,07,31
2023-07-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,4,2023,3,07,31
2023-07-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,4,2023,3,07,31
2023-07-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,4,2023,3,07,31
2023-06-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,3,2023,2,06,30
2023-06-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,3,2023,2,06,30
2023-06-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,3,2023,2,06,30
2023-06-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,3,2023,2,06,30
2023-06-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,3,2023,2,06,30
2023-06-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,3,2023,2,06,30
2023-06-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,3,2023,2,06,30
2023-06-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,3,2023,2,06,30
2023-05-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,3,2023,2,05,31
2023-05-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,3,2023,2,05,31
2023-05-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,3,2023,2,05,31
2023-05-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,3,2023,2,05,31
2023-05-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,3,2023,2,05,31
2023-05-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,3,2023,2,05,31
2023-05-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,3,2023,2,05,31
2023-05-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,3,2023,2,05,31
2023-04-28,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,3,2023,2,04,28
2023-04-28,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,3,2023,2,04,28
2023-04-28,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,3,2023,2,04,28
2023-04-28,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,3,2023,2,04,28
2023-04-28,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,3,2023,2,04,28
2023-04-28,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,3,2023,2,04,28
2023-04-28,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,3,2023,2,04,28
2023-04-28,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,3,2023,2,04,28
2023-03-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,2,2023,1,03,31
2023-03-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,2,2023,1,03,31
2023-03-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,2,2023,1,03,31
2023-03-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,2,2023,1,03,31
2023-03-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,2,2023,1,03,31
2023-03-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,2,2023,1,03,31
2023-03-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,2,2023,1,03,31
2023-03-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,2,2023,1,03,31
2023-02-28,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,2,2023,1,02,28
2023-02-28,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,2,2023,1,02,28
2023-02-28,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,2,2023,1,02,28
2023-02-28,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,2,2023,1,02,28
2023-02-28,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,2,2023,1,02,28
2023-02-28,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,2,2023,1,02,28
2023-02-28,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,2,2023,1,02,28
2023-02-28,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,2,2023,1,02,28
2023-01-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,2,2023,1,01,31
2023-01-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,2,2023,1,01,31
2023-01-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,2,2023,1,01,31
2023-01-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,2,2023,1,01,31
2023-01-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,2,2023,1,01,31
2023-01-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,2,2023,1,01,31
2023-01-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,2,2023,1,01,31
2023-01-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,2,2023,1,01,31
2022-12-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,1,2022,4,12,30
2022-12-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,1,2022,4,12,30
2022-12-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,1,2022,4,12,30
2022-12-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,1,2022,4,12,30
2022-12-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,1,2022,4,12,30
2022-12-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,1,2022,4,12,30
2022-12-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,1,2022,4,12,30
2022-12-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,1,2022,4,12,30
2022-11-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,1,2022,4,11,30
2022-11-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,1,2022,4,11,30
2022-11-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,1,2022,4,11,30
2022-11-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,1,2022,4,11,30
2022-11-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,1,2022,4,11,30
2022-11-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,1,2022,4,11,30
2022-11-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,1,2022,4,11,30
2022-11-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,1,2022,4,11,30
2022-10-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2023,1,2022,4,10,31
2022-10-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2023,1,2022,4,10,31
2022-10-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2023,1,2022,4,10,31
2022-10-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2023,1,2022,4,10,31
2022-10-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2023,1,2022,4,10,31
2022-10-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2023,1,2022,4,10,31
2022-10-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2023,1,2022,4,10,31
2022-10-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2023,1,2022,4,10,31
2022-09-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2022,4,2022,3,09,30
